Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,11.5,New Mexico
1997,7.7,New Mexico
1998,10.9,New Mexico
1999,9.8,New Mexico
2000,7.4,New Mexico
2001,5.4,New Mexico
2002,8.2,New Mexico
2003,6.2,New Mexico
2004,8.9,New Mexico
2005,7.5,New Mexico
2006,6.9,New Mexico
2008,8.1,New Mexico
2009,9.9,New Mexico
2010,6.8,New Mexico
2011,7.6,New Mexico
2012,5.6,New Mexico
2007,9.3,New Mexico
2013,5.9,New Mexico
2014,4.8,New Mexico
1995,8.8,New Mexico
2015,5.6,New Mexico
1989,8.6,New Mexico
1990,9.2,New Mexico
1991,10.5,New Mexico
1992,8.9,New Mexico
1993,8,New Mexico
1994,10.7,New Mexico
2017,6.9,New Mexico
2016,6.7,New Mexico
2018,7.3,New Mexico
2019,8.6,New Mexico
